timestamp_prediction,kecamatan,tps_id,tps_type,zone_population,tps_capacity_kg,day_of_week,is_weekend,is_holiday,daily_growth_rate,rainfall_today,event_urgency_score,current_fill_percentage,target_fill_percentage
2026-01-01 06:00:00,0,1,4,93497,8456,3,0,0,2.37,0.0,0.0,9.61,15.3
2026-01-01 06:00:00,20,121,3,98929,6839,3,0,0,2.2,0.0,0.0,14.68,33.29
2026-01-01 06:00:00,10,44,3,91076,8740,3,0,0,1.69,0.0,0.0,19.78,35.19
2026-01-01 06:00:00,11,45,0,84340,1133,3,0,0,1.06,7.85,0.0,15.04,25.12
2026-01-01 06:00:00,24,84,3,89630,6024,3,0,0,0.78,16.4,0.0,8.91,24.54
2026-01-01 06:00:00,27,93,1,109721,2607,3,0,0,2.15,0.0,0.0,14.19,28.68
2026-01-01 06:00:00,11,46,1,56097,1937,3,0,0,1.73,0.0,0.0,6.92,14.51
2026-01-01 06:00:00,43,148,0,102908,2655,3,0,0,2.82,0.0,0.0,13.23,24.93
2026-01-01 06:00:00,20,119,4,105899,7218,3,0,0,0.56,0.0,0.0,7.13,24.62
2026-01-01 06:00:00,11,47,2,53148,3124,3,0,0,1.97,0.0,0.0,16.26,24.88
2026-01-01 06:00:00,34,118,3,86668,9043,3,0,0,1.17,0.0,0.0,7.57,23.86
2026-01-01 06:00:00,11,48,3,129187,9734,3,0,0,0.84,15.95,2.7,11.23,38.05
2026-01-01 06:00:00,10,43,2,131079,4010,3,0,0,0.53,0.0,0.0,18.35,36.3
2026-01-01 06:00:00,12,49,0,108404,2428,3,0,0,0.78,9.2,3.7,8.76,46.99
2026-01-01 06:00:00,12,50,3,148964,7373,3,0,0,1.47,0.0,0.0,12.47,43.27
2026-01-01 06:00:00,34,116,1,134383,1308,3,0,0,1.0,0.0,0.0,19.72,42.03
2026-01-01 06:00:00,13,51,4,68845,6528,3,0,0,2.5,21.43,0.0,11.37,22.18
2026-01-01 06:00:00,13,52,0,147376,2665,3,0,0,2.15,0.0,0.0,15.42,43.76
2026-01-01 06:00:00,24,83,2,133948,4910,3,0,0,1.51,0.69,0.0,16.46,42.65
2026-01-01 06:00:00,27,94,3,138832,8474,3,0,0,0.86,0.0,0.0,10.34,29.58
2026-01-01 06:00:00,0,5,3,133301,9556,3,0,0,2.36,3.56,0.0,12.71,36.99
2026-01-01 06:00:00,34,115,0,61036,2556,3,0,0,1.36,0.0,0.0,20.18,32.42
2026-01-01 06:00:00,13,53,1,137063,2322,3,0,0,2.34,1.88,0.0,9.33,31.34
2026-01-01 06:00:00,2,11,3,80606,6590,3,0,0,1.82,4.31,0.0,17.73,35.72
2026-01-01 06:00:00,42,144,4,61935,8544,3,0,0,2.46,0.0,0.0,22.2,30.82
2026-01-01 06:00:00,34,117,2,59345,4459,3,0,0,2.65,0.0,0.0,18.84,33.57
2026-01-01 06:00:00,34,114,4,81408,9767,3,0,0,1.5,0.0,0.0,10.91,25.47
2026-01-01 06:00:00,21,122,4,112822,8725,3,0,0,2.62,0.0,0.0,12.95,30.74
2026-01-01 06:00:00,10,42,1,146871,2320,3,0,0,1.07,4.65,0.0,12.46,32.59
2026-01-01 06:00:00,7,31,3,58730,7487,3,0,1,2.22,0.0,0.0,20.05,34.45
2026-01-01 06:00:00,8,32,4,92544,7316,3,0,0,1.35,0.0,4.8,15.41,57.75
2026-01-01 06:00:00,36,129,3,51340,5435,3,0,0,2.07,0.0,0.0,9.07,14.77
2026-01-01 06:00:00,8,33,0,143549,1119,3,0,0,2.92,0.0,0.0,17.16,38.16
2026-01-01 06:00:00,1,7,0,94870,2749,3,0,0,0.75,0.0,3.5,14.56,51.49
2026-01-01 06:00:00,36,128,0,97839,1996,3,0,0,1.28,0.0,4.7,10.74,39.89
2026-01-01 06:00:00,8,34,1,57937,2017,3,0,0,1.01,0.0,0.0,11.95,17.4
